label||content
Thể thao || VĐV trượt băng nghệ thuật người Việt đầu tiên giành suất tham dự Olympic mùa đông sau thành tích ấn tượng tại vòng loại châu Á (cập nhật 100).
Công nghệ || Công nghệ in 3D kim loại được ứng dụng trong sản xuất linh kiện hàng không vũ trụ tại các nhà máy Việt Nam, nâng cao giá trị gia tăng trong chuỗi sản xuất.
Thể thao || Formula 1 Grand Prix Việt Nam chính thức được đưa vào lịch thi đấu mùa giải tới, với đường đua mới đặt tại khu vực ngoại ô Hà Nội.
Kinh tế || Thị trường vàng trong nước biến động mạnh theo đà tăng của giá vàng thế giới, nhiều nhà đầu tư tranh thủ chốt lời ở vùng đỉnh (cập nhật 65).
Chính trị || Đảng Cộng sản Việt Nam khai mạc Đại hội đại biểu toàn quốc lần thứ XIV, thảo luận về phương hướng phát triển đất nước giai đoạn 2026-2031 (cập nhật 110).
Công nghệ || Công nghệ CCUS thu giữ và lưu trữ carbon được áp dụng tại các nhà máy điện than, giúp giảm đáng kể lượng khí thải CO2 ra môi trường (cập nhật 92).
Kinh tế || Hiệp định thương mại tự do EVFTA giúp kim ngạch xuất khẩu sang EU tăng đáng kể, đặc biệt với nhóm dệt may, da giày và thủy sản.
Công nghệ || Công ty khởi nghiệp KiotViet nâng cấp hệ thống quản lý bán hàng tích hợp AI, phục vụ hơn 200 (cập nhật 124).000 cửa hàng nhỏ và vừa trên toàn quốc.
Công nghệ || Meta giới thiệu kính thực tế tăng cường thế hệ mới, được đánh giá là bước đột phá trong hành trình xây dựng nền tảng metaverse toàn diện (cập nhật 110).
Công nghệ || Bộ vi xử lý AI chuyên dụng mới của NVIDIA đạt hiệu năng gấp 10 lần thế hệ trước, mở ra khả năng xử lý các mô hình ngôn ngữ lớn theo thời gian thực.
Thể thao || CLB TP (cập nhật 117).HCM ký hợp đồng với tiền đạo Brazil người Mỹ nổi tiếng, kỳ vọng nâng tầm chất lượng V.League và thu hút khán giả tới sân.
